market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source
ChiNext,0.69999999999999996,70%,LTR-DQN,72,0.79629611066791628,96178945,
ChiNext,0.69999999999999996,70%,LTR-DQN,75,-0.33293667115109726,1864354817,
ChiNext,0.69999999999999996,70%,LTR-DQN,77,0.27981034336851107,1742357770,
ChiNext,0.69999999999999996,70%,LTR-DQN,79,1.7830979526666408,1349445697,
ChiNext,0.69999999999999996,70%,LTR-DQN,90,-0.12218550365911973,1130102130,
ChiNext,0.69999999999999996,70%,LTR-DQN,93,-0.3564889691395825,1402299898,
ChiNext,0.69999999999999996,70%,LTR-DQN,94,-0.017896546873632402,245925417,
ChiNext,0.69999999999999996,70%,LTR-DQN,100,-0.72373460111182375,1261640456,
ChiNext,0.69999999999999996,70%,LTR-DQN,102,0.15899524326463865,2100513438,
ChiNext,0.69999999999999996,70%,LTR-DQN,106,-0.29193458778756187,716036393,
ChiNext,0.69999999999999996,70%,LTR-DQN,108,-0.58621178799613838,287022841,
ChiNext,0.69999999999999996,70%,LambdaMART,3,-0.3247669173836395,,
ChiNext,0.69999999999999996,70%,LambdaMART,8,-0.3666284444908261,,
ChiNext,0.69999999999999996,70%,LambdaMART,16,0.71144644843868421,,
ChiNext,0.69999999999999996,70%,LambdaMART,18,0.16670947177863749,,
ChiNext,0.69999999999999996,70%,LambdaMART,23,0.79007702631975651,,
ChiNext,0.69999999999999996,70%,LambdaMART,37,5.6720224304246569,,
ChiNext,0.69999999999999996,70%,LambdaMART,39,2.1011567842977539,,
ChiNext,0.69999999999999996,70%,LambdaMART,69,-0.26138483747675878,,
ChiNext,0.69999999999999996,70%,LambdaMART,70,-0.26147910435480559,,
ChiNext,0.69999999999999996,70%,LambdaMART,72,0.38730507061593089,,
ChiNext,0.69999999999999996,70%,LambdaMART,75,-0.47042379835155701,,
ChiNext,0.69999999999999996,70%,LambdaMART,77,0.35265612097680465,,
ChiNext,0.69999999999999996,70%,LambdaMART,79,0.57253783217579324,,
ChiNext,0.69999999999999996,70%,LambdaMART,90,-0.4518657831180658,,
ChiNext,0.69999999999999996,70%,LambdaMART,93,-0.20821481218471594,,
ChiNext,0.69999999999999996,70%,LambdaMART,94,-0.38432826595028424,,
ChiNext,0.69999999999999996,70%,LambdaMART,100,-0.74993288207519404,,
ChiNext,0.69999999999999996,70%,LambdaMART,102,-0.46097581627099804,,
ChiNext,0.69999999999999996,70%,LambdaMART,106,-0.43303811154169036,,
ChiNext,0.69999999999999996,70%,LambdaMART,108,-0.36093089719927518,,
ChiNext,0.69999999999999996,70%,LambdaRank,7,0.40901897553719668,,
ChiNext,0.69999999999999996,70%,LambdaRank,18,-0.077403670202180641,,
ChiNext,0.69999999999999996,70%,LambdaRank,20,0.82792464964632528,,
ChiNext,0.69999999999999996,70%,LambdaRank,25,0.11819315613947556,,
ChiNext,0.69999999999999996,70%,LambdaRank,26,-0.38906367976801537,,
ChiNext,0.69999999999999996,70%,LambdaRank,42,0.88220817741151181,,
ChiNext,0.69999999999999996,70%,LambdaRank,47,1.6947092151856156,,
ChiNext,0.69999999999999996,70%,LambdaRank,51,0.42288439761619867,,
ChiNext,0.69999999999999996,70%,LambdaRank,54,-0.59353050034827026,,
ChiNext,0.69999999999999996,70%,LambdaRank,55,0.66365128251166405,,
ChiNext,0.69999999999999996,70%,LambdaRank,58,-0.54638968978513458,,
ChiNext,0.69999999999999996,70%,LambdaRank,61,-0.033342882633396798,,
ChiNext,0.69999999999999996,70%,LambdaRank,62,-0.28954907989955736,,
ChiNext,0.69999999999999996,70%,LambdaRank,72,0.34321614386045662,,
ChiNext,0.69999999999999996,70%,LambdaRank,83,-0.5418847578995436,,
