qid_date,wealth,market,model,source_signature,seed_signature
20220124,0.9562259577656526,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220125,0.9631461649806118,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220126,0.9442540529927765,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220127,0.9327870317854485,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220128,0.9471594142766558,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220207,0.9419850824462305,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220208,0.9508331482830088,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220209,0.9483400638293397,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220210,0.9404773763456802,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220211,0.9303173992048379,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220214,0.9402131853865672,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220215,0.9438687342417562,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220216,0.9461528966118962,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220217,0.9506641535951085,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220218,0.9472056374569638,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220221,0.9349090138407092,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220222,0.9449022562649819,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220223,0.925745307912454,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220224,0.934760215749579,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220225,0.936440914586687,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220228,0.9442161835223739,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220301,0.9358192690078103,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220302,0.9303063576907241,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220303,0.919024532524214,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220304,0.8896635367384329,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220307,0.8718026515420917,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220308,0.8638221700773425,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220309,0.8774126843282543,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220310,0.8802098759174466,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220311,0.8532789745834615,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220314,0.8142517008635792,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220315,0.8494615728743337,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220316,0.8661424498165358,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220317,0.8719074939371143,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220318,0.8704453051076494,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220321,0.869740244338552,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220322,0.8740776389955995,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220323,0.8689249513416482,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220324,0.8532417248747104,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220325,0.8479055511090497,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220328,0.8449785811094405,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220329,0.8694964796696741,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220330,0.8630578582111157,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220331,0.8740048840664058,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220401,0.871487750015777,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220406,0.8602995902981807,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220407,0.8647284125707337,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220408,0.8380152224761015,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220411,0.8543464630912754,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220412,0.8461225240837555,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220413,0.8567159780704346,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220414,0.8561394082062573,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220415,0.8515684799060791,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220418,0.8451340284908047,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220419,0.8320302253760692,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220420,0.8167092207952222,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220421,0.8202700730351091,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220422,0.779731505769383,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220425,0.7734375130598715,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220426,0.7962098337452056,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220427,0.8014361550335725,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220428,0.8208805990662004,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220429,0.8196476364011551,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220505,0.7989236655390685,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220506,0.7925099063696112,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220509,0.8011823422522781,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220510,0.8127418011052934,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220511,0.8091275382730617,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220512,0.8152307873387112,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220513,0.8086779622493331,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220516,0.8187654111492988,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220517,0.8159071011642944,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220518,0.8174793541336309,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220519,0.8334218365059347,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220520,0.8285946571476941,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220523,0.8092129995682604,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220524,0.8141233040197859,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220525,0.8161398874271627,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220526,0.8178268485916375,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
20220527,0.8234927529858648,Main,CSI 300 Index,15be2953ef58d8d672e82424999fa7aca53391e706b3ef8e31027b2e92088086,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
