market,model,feature,importance,tree_method,seed_signature
ChiNext,LR,ind_4,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,ind_5,0.032151594241234746,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,ind_6,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,page,0.48061050509862496,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,advance_reaction,0.5674544799527685,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,star_analyst,0.3322055374801139,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,title_len,0.4807850142115428,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,num_sentence,0.43521109239523115,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,avg_sentence_len,0.4158126890979369,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,sd_sentence_len,0.48720346044518437,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,num_authors,0.36047132095709683,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,analyst_coverage,0.6534644592651401,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,rm_rf,0.6956986870827304,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,smb,0.6147218454123935,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,hml,0.5977248911293269,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,rmw,0.8552427023534179,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,cma,1.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,broker_size,0.4131785347534023,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,listed,0.7855914543878993,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,prior_performance_avg,0.5863957976975402,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,prior_performance_sd,0.5340196262567334,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,broker_status,0.5506844246348115,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,ind_1,0.7036051005657149,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,ind_2,0.7520235580409037,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,ind_3,0.6750531613829097,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,ind_4,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,ind_5,0.7355475858406137,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,XGB_R,ind_6,0.5213972246316723,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
