table,market,model,train_year,ARR,MDR,CR,SR,WR
T5,Main,XGB_R,2.0,0.45003745712025567,0.35276219341106657,1.275753086714245,1.5752299369445242,0.47888513513513514
T5,Main,SVM_C,2.0,-0.027751837807612367,0.3348255553882757,-0.0828844673323407,-0.13395942237911387,0.43836809534723814
T5,Main,MLP_C,2.0,-0.003927864997615549,0.3118948236100913,-0.012593556225626515,-0.015547533287096309,0.45682613768961494
T5,Main,XGB_C,2.0,-0.007677019595809242,0.31990436691923607,-0.023997858077840505,-0.03906040241147968,0.45033999587883783
T5,Main,LambdaRank,2.0,1.0524949891526596,0.31514413917884904,3.339725726440855,3.622668195229061,0.5067567567567568
T5,Main,LambdaMART,2.0,1.4296474635679757,0.2964084752707224,4.82323409363453,5.136298768001267,0.5211148648648649
T5,Main,LTR-DQN,2.0,1.8679103088120432,0.2529277848978083,7.385152681294957,5.614056644414091,0.5592705167173252
T5,ChiNext,LR,2.0,0.30060949201836307,0.4689318444138333,0.6410515634614795,0.981173525250552,0.49404761904761907
T5,ChiNext,MLP_R,2.0,-0.0818872665471253,0.38725893600509825,-0.21145352355677408,-0.12219589267217584,0.4736394557823129
T5,ChiNext,SVM_R,2.0,-0.0954421653672648,0.469734027030925,-0.20318341843475043,-0.15745306319796443,0.461734693877551
T5,ChiNext,XGB_R,2.0,-0.16252246902084844,0.4333687172928266,-0.37502122911892655,-0.3290697163152838,0.4549319727891156
T5,ChiNext,SVM_C,2.0,-0.07873836178997307,0.43165753994547307,-0.18240932800552792,-0.2049999988023099,0.43183197766177006
T5,ChiNext,MLP_C,2.0,-0.03471242996982882,0.4275751169757574,-0.08118440150434886,-0.02749363036250295,0.4536760310818888
T5,ChiNext,XGB_C,2.0,-0.06227063779589259,0.4368284704587074,-0.14255169249958247,-0.11188755901977139,0.4409986044347961
T5,ChiNext,LambdaRank,2.0,0.35771807946493506,0.2690865834389609,1.329379097587298,1.1714042041578114,0.477891156462585
T5,ChiNext,LambdaMART,2.0,0.5047737473075924,0.20344307431789987,2.481154735790286,1.6065657066615837,0.4872448979591837
T5,ChiNext,LTR-DQN,2.0,0.6304360514156737,0.2773858063740302,2.2727768938746147,1.8467794042736128,0.509090909090909
T5,Main,LR,4.0,1.2737335921685422,0.2888047531841322,4.41036228845047,4.404087119202178,0.5168918918918919
T5,Main,MLP_R,4.0,1.149833487220342,0.24087719604858532,4.773525705556697,3.9575744026896724,0.5109797297297297
T5,Main,SVM_R,4.0,0.8240204899290773,0.24547790599144625,3.3568010391851333,2.6382613638952623,0.5092905405405406
T5,Main,XGB_R,4.0,1.8273149438735388,0.20461669167029614,8.930429521448504,6.027335454834159,0.5363175675675675
T5,Main,SVM_C,4.0,-0.07471156680051694,0.34088781327952417,-0.21916760849193015,-0.3608513564200921,0.4410430839002268
T5,Main,MLP_C,4.0,-0.015627944659986293,0.31006317232690705,-0.050402453611967095,-0.07905611691598273,0.4456303841361001
T5,Main,XGB_C,4.0,0.10991306371634768,0.3098741900783943,0.35470222185507305,0.5141843874582384,0.448098868789555
T5,Main,LambdaRank,4.0,0.7721784698935474,0.38499108161368606,2.005704824789628,2.675818321778084,0.504222972972973
T5,Main,LambdaMART,4.0,1.489835476825955,0.3654639587542477,4.076559236933617,4.888889102993558,0.5244932432432432
T5,Main,LTR-DQN,4.0,1.6228065488816337,0.2183112687206774,7.433452970116559,4.552684641749256,0.5582706766917294
T5,ChiNext,LR,4.0,0.170733376494129,0.4419628970634061,0.3863070353383868,0.6080355912288035,0.48894557823129253
T5,ChiNext,MLP_R,4.0,0.07525148875095078,0.4176296176229749,0.18018714568008884,0.34379746200408773,0.46258503401360546
T5,ChiNext,SVM_R,4.0,-0.10974045560268952,0.40896244762184175,-0.2683387099251813,-0.2259145172689594,0.4770408163265306
T5,ChiNext,XGB_R,4.0,-0.08568624838022088,0.37584020816056884,-0.2279858474950968,-0.12352842521706182,0.46258503401360546
T5,ChiNext,SVM_C,4.0,-0.02339323242861291,0.42139722845946304,-0.055513493798080966,-0.022540024786464836,0.4342582710779082
T5,ChiNext,MLP_C,4.0,-0.024010409209633488,0.4867550071267369,-0.04932750327801327,0.004062183329810721,0.4504107088530575
T5,ChiNext,XGB_C,4.0,0.023137659740588346,0.4447816208865212,0.05202026939528498,0.15241429806210063,0.4359434360489658
T5,ChiNext,LambdaRank,4.0,0.43098904516089154,0.37358166687102334,1.1536675468330402,1.3407349589804634,0.46938775510204084
T5,ChiNext,LambdaMART,4.0,0.49941740618646135,0.2767800123335024,1.8043839292293078,1.5864164100787488,0.49489795918367346
T5,ChiNext,LTR-DQN,4.0,0.7099909921960674,0.2006317828871338,3.538776269537891,1.9368713596075264,0.512962962962963
T7,Main,Market indices,3.0,-0.12847039989543585,0.3098244953632645,-0.4146553994861067,-0.723554784180023,0.47840531561461797
T7,Main,Baseline portfolios,3.0,0.010621716869360975,0.24424558747011876,0.04348785572496963,0.007854639454701088,0.48145685001173616
T7,Main,LTR-DQN without ESG,3.0,2.779974433613388,0.21902177403192058,12.692685217718262,7.475113597090452,0.5689102564102564
T7,Main,NS 25%,3.0,1.2929780338026666,0.23217060534296452,5.569085853451034,3.889847580263597,0.5236139630390144
T7,Main,NS 50%,3.0,1.160303194828975,0.216370352286864,5.362579404088801,3.4798524329857576,0.5230769230769231
T7,Main,PI 25%,3.0,1.7160050285280941,0.2882405711034347,5.953377839763952,4.87593688170044,0.5256410256410257
T7,Main,PI 50%,3.0,0.9126736063954668,0.3056013476737979,2.986484232948031,2.8167134314756987,0.5368589743589743
T7,ChiNext,Market indices,3.0,-0.25244128830897516,0.38503450624361424,-0.65563289579364,-0.9657867018771914,0.4584717607973422
T7,ChiNext,Baseline portfolios,3.0,-0.04231332455406145,0.3320470024630457,-0.1274317317734877,-0.16175195998530062,0.4641623106228404
T7,ChiNext,LTR-DQN without ESG,3.0,0.5871417361587874,0.31013970489901543,1.8931524306117675,1.7229239293768686,0.5143312101910829
T7,ChiNext,NS 25%,3.0,0.12218417461119091,0.26128488650691506,0.4676281749191691,0.4750519493552211,0.4718045112781955
T7,ChiNext,NS 50%,3.0,0.29297125705630633,0.3150232286044572,0.9299989031099695,0.9518790306070934,0.49019607843137253
T7,ChiNext,PI 25%,3.0,0.1312263833696472,0.32217183085362744,0.40731799245747025,0.5003127136573334,0.4656
T7,ChiNext,PI 50%,3.0,0.4798962203385251,0.32163146978667007,1.492068610875758,1.3928942586613278,0.4763458401305057
