qid_date,funds,market,strategy,source_signature
20220630.0,894075.0613392739,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220701.0,899941.9824293101,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220704.0,898642.4656388026,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220705.0,885517.7929352676,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220706.0,889422.0405086805,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220707.0,886480.7219493587,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220708.0,871635.7158552088,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220711.0,863429.265697692,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220712.0,864998.9802736435,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220713.0,865121.8101672904,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220714.0,850400.0318409294,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220715.0,859218.6801042737,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220718.0,854566.0110526476,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220719.0,857461.2805321611,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220720.0,847904.8749497704,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220721.0,848340.6975510534,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220722.0,843218.4165175068,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220725.0,849889.9612343701,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220726.0,845698.3037754371,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220727.0,845826.0043925742,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220728.0,834702.5464327594,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220729.0,838421.1460932704,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220801.0,822076.9639798902,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220802.0,814060.8917471789,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220803.0,820978.7812094629,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220804.0,832062.8156643576,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220805.0,830293.8502467604,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220808.0,831938.6619496325,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220809.0,822620.1171744037,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220810.0,839394.9867248362,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220811.0,838916.5317475046,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220812.0,837820.9068549452,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220815.0,836250.8299870924,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220816.0,844081.483165402,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220817.0,836703.3665370868,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220818.0,830893.2985889254,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220819.0,836962.9745625936,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220822.0,832897.0081329056,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220823.0,817151.9233914106,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220824.0,823921.2092877337,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220825.0,822181.0881280542,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220826.0,818573.3570676256,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220829.0,815825.406958672,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
