market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source,source_signature
Main,0.6,60%,LambdaMART,8,1.7226472034679219,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,8,2.2005414101208975,90843299.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,12,0.1597181835958621,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,12,0.5007019232036194,1407606596.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,18,0.963212045034227,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,18,1.2308805518524322,248988073.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,25,0.9986223914081276,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,25,1.9713540748164968,2137296655.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,29,-0.05259698735357443,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,29,0.5399528064016756,454067855.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,31,4.677930700041917,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,31,6.852661883301601,285798786.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,40,0.4540748775458483,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,40,0.7924532707497414,825079857.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,44,0.9749138951148564,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,44,1.0005483596476985,1091773373.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,55,1.8937584565480314,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,55,2.3318837031007185,370138491.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,58,0.14231900112856266,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,58,0.380474754524496,864655436.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,59,-0.16474087834291418,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,59,0.1376227481811927,958472621.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,62,0.32404323209417796,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,62,0.49475157078203047,2003246367.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,64,2.271413823723026,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
