market,broker_group,broker_column,broker_grouping_mode,n_reports,ARR,MDR,CR,SR,WR,source_signature
Main,81,broker_size,proxy,386,0.7770273366927747,0.3179892601023969,2.4435647180114235,2.2851365222573334,0.4948186528497409,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,82,broker_size,proxy,2261,1.0726716693860494,0.1946541244135309,5.51065471958469,3.0887698224857294,0.5099513489606369,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,83,broker_size,proxy,1892,1.0493103145946057,0.303136203179985,3.46151434103562,2.9505107323706663,0.47463002114164904,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,85,broker_size,proxy,406,0.5522288836855924,0.14221393316276826,3.883085654157032,1.6129157102534464,0.5049261083743842,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,86,broker_size,proxy,807,-0.11689800125797678,0.290473647925942,-0.40243926460337853,-0.28898273009157155,0.5006195786864932,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,87,broker_size,proxy,933,0.15935254391307163,0.37764964464225703,0.42195867565034884,0.5705092821062175,0.48231511254019294,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,88,broker_size,proxy,108,1.3480319097347557,0.1533741120414198,8.78917499043587,3.1924809912615157,0.5370370370370371,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,89,broker_size,proxy,999,0.6568962333171315,0.2179734300456844,3.013652779512873,1.751162342655093,0.4964964964964965,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,92,broker_size,proxy,630,-0.28178056872835855,0.30837668493487397,-0.9137544519225497,-0.7828895607750096,0.5111111111111111,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,93,broker_size,proxy,1174,0.586077722752409,0.23692010850162695,2.473735667516733,1.6755914323547196,0.4846678023850085,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,94,broker_size,proxy,2023,-0.17467667186507818,0.6326207770289655,-0.2761159263301913,-0.3557975197312288,0.4379634206623826,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
